ID,Date,Temperature,Avg.light,Max.light
1,5/1/2013 6:00,12.98,172.2,172.2
2,5/1/2013 8:00,18.236,74400.5,74400.5
3,5/1/2013 10:00,28.258,154312.1,154312.1
4,5/1/2013 12:00,31.778,187379,187379
5,5/1/2013 14:00,31.472,176356.7,176356.7
6,5/1/2013 16:00,28.258,104711.8,104711.8
7,5/1/2013 18:00,21.473,7577.8,7577.8
8,5/1/2013 20:00,19.472,2238.9,2238.9
9,5/1/2013 22:00,18.14,0,0
10,5/2/2013 0:00,16.427,0,0
11,5/2/2013 2:00,13.076,0,0
12,5/2/2013 4:00,11.625,0,0
13,5/2/2013 6:00,9.373,279.9,279.9
14,5/2/2013 8:00,18.996,74400.5,74400.5
15,5/2/2013 10:00,28.06,154312.1,154312.1
16,5/2/2013 12:00,31.166,198401.3,198401.3
17,5/2/2013 14:00,31.88,176356.7,176356.7
18,5/2/2013 16:00,28.655,104711.8,104711.8
19,5/2/2013 18:00,21.951,10677.8,10677.8
20,5/2/2013 20:00,18.901,1894.5,1894.5
21,5/2/2013 22:00,17.379,0,0
22,5/3/2013 0:00,16.523,0,0
23,5/3/2013 2:00,14.134,0,0
24,5/3/2013 4:00,13.365,0,0
25,5/3/2013 6:00,12.207,570.5,570.5
26,5/3/2013 8:00,19.567,41333.6,41333.6
27,5/3/2013 10:00,27.862,110223,110223
28,5/3/2013 12:00,33.43,198401.3,198401.3
29,5/3/2013 14:00,31.472,176356.7,176356.7
30,5/3/2013 16:00,29.152,99200.7,99200.7
31,5/3/2013 18:00,22.812,13089,13089
32,5/3/2013 20:00,20.043,4133.4,4133.4
33,5/3/2013 22:00,17.76,0,0
34,5/4/2013 0:00,16.903,0,0
35,5/4/2013 2:00,14.421,0,0
36,5/4/2013 4:00,11.625,0,0
37,5/4/2013 6:00,10.455,452.1,452.1
38,5/4/2013 8:00,20.424,74400.5,74400.5
39,5/4/2013 10:00,28.655,159823.3,159823.3
40,5/4/2013 12:00,31.983,198401.3,198401.3
41,5/4/2013 14:00,31.064,187379,187379
42,5/4/2013 16:00,27.764,110223,110223
43,5/4/2013 18:00,21.187,5511.1,5511.1
44,5/4/2013 20:00,18.045,2152.8,2152.8
45,5/4/2013 22:00,16.713,0,0
46,5/5/2013 0:00,15.76,0,0
47,5/5/2013 2:00,16.046,0,0
48,5/5/2013 4:00,13.173,0,0
49,5/5/2013 6:00,11.041,549,549
50,5/5/2013 8:00,20.234,79911.6,79911.6
51,5/5/2013 10:00,29.652,165334.4,165334.4
52,5/5/2013 12:00,33.639,198401.3,198401.3
53,5/5/2013 14:00,30.862,176356.7,176356.7
54,5/5/2013 16:00,30.356,110223,110223
55,5/5/2013 18:00,25.319,6200,6200
56,5/5/2013 20:00,19.092,2669.5,2669.5
57,5/5/2013 22:00,18.14,0,0
58,5/6/2013 0:00,14.421,0,0
