ID,Date,Temperature,Avg.light,Max.light
1,5/1/2013 6:00,14.134,0,0
2,5/1/2013 8:00,14.709,0,0
3,5/1/2013 10:00,20.329,0,0
4,5/1/2013 12:00,25.708,0,0
5,5/1/2013 14:00,28.357,0,0
6,5/1/2013 16:00,29.552,21.5,21.5
7,5/1/2013 18:00,32.394,0,0
8,5/1/2013 20:00,30.054,0,0
9,5/1/2013 22:00,24.351,0,0
10,5/2/2013 0:00,21.378,0,0
11,5/2/2013 2:00,18.616,0,0
12,5/2/2013 4:00,16.237,0,0
13,5/2/2013 6:00,13.942,0,0
14,5/2/2013 8:00,13.269,0,0
15,5/2/2013 10:00,17.094,0,0
16,5/2/2013 12:00,23.004,0,0
17,5/2/2013 14:00,26.683,0,0
18,5/2/2013 16:00,28.258,0,0
19,5/2/2013 18:00,28.159,0,0
20,5/2/2013 20:00,25.708,0,0
21,5/2/2013 22:00,22.333,0,0
22,5/3/2013 0:00,19.948,0,0
23,5/3/2013 2:00,18.14,0,0
24,5/3/2013 4:00,16.427,0,0
25,5/3/2013 6:00,14.996,0,0
26,5/3/2013 8:00,14.517,0,0
27,5/3/2013 10:00,17.665,0,0
28,5/3/2013 12:00,24.351,0,0
29,5/3/2013 14:00,30.255,32.3,32.3
30,5/3/2013 16:00,31.37,0,0
31,5/3/2013 18:00,29.853,0,0
32,5/3/2013 20:00,27.862,0,0
33,5/3/2013 22:00,23.677,0,0
34,5/4/2013 0:00,20.71,0,0
35,5/4/2013 2:00,18.616,0,0
36,5/4/2013 4:00,16.141,0,0
37,5/4/2013 6:00,14.038,0,0
38,5/4/2013 8:00,14.804,21.5,21.5
39,5/4/2013 10:00,21.091,0,0
40,5/4/2013 12:00,25.125,0,0
41,5/4/2013 14:00,26.585,0,0
42,5/4/2013 16:00,27.665,0,0
43,5/4/2013 18:00,29.752,0,0
44,5/4/2013 20:00,27.468,0,0
45,5/4/2013 22:00,23.966,0,0
46,5/5/2013 0:00,20.71,0,0
47,5/5/2013 2:00,18.045,0,0
48,5/5/2013 4:00,16.237,0,0
49,5/5/2013 6:00,14.517,0,0
50,5/5/2013 8:00,13.846,0,0
51,5/5/2013 10:00,18.806,0,0
52,5/5/2013 12:00,26.683,0,0
53,5/5/2013 14:00,31.778,0,0
54,5/5/2013 16:00,35.435,0,0
55,5/5/2013 18:00,39.729,0,0
56,5/5/2013 20:00,37.494,0,0
57,5/5/2013 22:00,30.862,0,0
58,5/6/2013 0:00,25.416,0,0
59,5/6/2013 2:00,21.187,0,0
60,5/6/2013 4:00,18.045,0,0
61,5/6/2013 6:00,15.569,0,0
62,5/6/2013 8:00,14.421,0,0
63,5/6/2013 10:00,20.234,0,0
64,5/6/2013 12:00,26.585,0,0
65,5/6/2013 14:00,27.961,0,0
66,5/6/2013 16:00,27.862,0,0
67,5/6/2013 18:00,30.154,0,0
68,5/6/2013 20:00,28.555,0,0
69,5/6/2013 22:00,26.39,0,0
70,5/7/2013 0:00,22.812,0,0
71,5/7/2013 2:00,19.567,0,0
72,5/7/2013 4:00,16.713,0,0
73,5/7/2013 6:00,14.709,0,0
74,5/7/2013 8:00,13.558,0,0
75,5/7/2013 10:00,14.996,0,0
76,5/7/2013 12:00,22.429,0,0
77,5/7/2013 14:00,29.752,0,0
78,5/7/2013 16:00,31.166,0,0
79,5/7/2013 18:00,31.676,0,0
80,5/7/2013 20:00,29.552,0,0
81,5/7/2013 22:00,26.683,0,0
82,5/8/2013 0:00,23.196,0,0
83,5/8/2013 2:00,20.043,0,0
84,5/8/2013 4:00,18.236,0,0
85,5/8/2013 6:00,16.808,0,0
86,5/8/2013 8:00,16.523,0,0
87,5/8/2013 10:00,19.472,0,0
88,5/8/2013 12:00,23.292,0,0
89,5/8/2013 14:00,28.357,0,0
90,5/8/2013 16:00,28.754,0,0
91,5/8/2013 18:00,29.053,0,0
92,5/8/2013 20:00,27.468,0,0
93,5/8/2013 22:00,26,0,0
94,5/9/2013 0:00,24.062,0,0
95,5/9/2013 2:00,22.238,0,0
96,5/9/2013 4:00,20.901,0,0
97,5/9/2013 6:00,20.043,0,0
98,5/9/2013 8:00,20.424,0,0
99,5/9/2013 10:00,21.282,0,0
100,5/9/2013 12:00,22.238,0,0
101,5/9/2013 14:00,23.773,0,0
102,5/9/2013 16:00,24.931,0,0
103,5/9/2013 18:00,26.097,0,0
104,5/9/2013 20:00,27.665,0,0
105,5/9/2013 22:00,26.292,0,0
106,5/10/2013 0:00,22.525,0,0
107,5/10/2013 2:00,19.092,0,0
108,5/10/2013 4:00,16.332,0,0
109,5/10/2013 6:00,13.942,0,0
110,5/10/2013 8:00,13.269,0,0
111,5/10/2013 10:00,13.75,0,0
112,5/10/2013 12:00,14.23,0,0
113,5/10/2013 14:00,14.613,0,0
114,5/10/2013 16:00,15.282,0,0
115,5/10/2013 18:00,16.713,0,0
116,5/10/2013 20:00,16.999,0,0
117,5/10/2013 22:00,16.808,0,0
118,5/11/2013 0:00,16.141,0,0
119,5/11/2013 2:00,14.517,0,0
120,5/11/2013 4:00,12.497,0,0
121,5/11/2013 6:00,10.944,0,0
122,5/11/2013 8:00,9.866,0,0
123,5/11/2013 10:00,9.768,0,0
124,5/11/2013 12:00,11.916,0,0
125,5/11/2013 14:00,15.091,0,0
126,5/11/2013 16:00,17.665,0,0
127,5/11/2013 18:00,19.092,0,0
128,5/11/2013 20:00,19.092,0,0
129,5/11/2013 22:00,16.808,0,0
130,5/12/2013 0:00,14.709,0,0
131,5/12/2013 2:00,12.11,0,0
132,5/12/2013 4:00,8.879,0,0
133,5/12/2013 6:00,6.166,0,0
134,5/12/2013 8:00,5.141,0,0
135,5/12/2013 10:00,5.552,0,0
136,5/12/2013 12:00,7.179,0,0
137,5/12/2013 14:00,9.669,0,0
138,5/12/2013 16:00,11.528,0,0
139,5/12/2013 18:00,11.236,0,0
140,5/12/2013 20:00,9.571,0,0
141,5/12/2013 22:00,6.877,0,0
142,5/13/2013 0:00,5.244,0,0
143,5/13/2013 2:00,4.311,0,0
144,5/13/2013 4:00,3.472,0,0
145,5/13/2013 6:00,2.517,0,0
146,5/13/2013 8:00,2.195,0,0
147,5/13/2013 10:00,3.683,0,0
148,5/13/2013 12:00,7.481,0,0
149,5/13/2013 14:00,10.651,0,0
150,5/13/2013 16:00,12.883,0,0
151,5/13/2013 18:00,13.846,0,0
152,5/13/2013 20:00,13.654,0,0
153,5/13/2013 22:00,11.334,0,0
154,5/14/2013 0:00,8.879,0,0
155,5/14/2013 2:00,6.37,0,0
156,5/14/2013 4:00,5.347,0,0
157,5/14/2013 6:00,4.831,0,0
158,5/14/2013 8:00,4.831,0,0
159,5/14/2013 10:00,7.28,0,0
160,5/14/2013 12:00,12.98,0,0
161,5/14/2013 14:00,16.427,57867,57867
162,5/14/2013 16:00,17.284,63378.2,63378.2
163,5/14/2013 18:00,12.497,17222.3,17222.3
164,5/14/2013 20:00,9.866,3788.9,3788.9
165,5/14/2013 22:00,8.082,0,0
166,5/15/2013 0:00,8.581,0,0
167,5/15/2013 2:00,7.882,0,0
168,5/15/2013 4:00,6.674,0,0
169,5/15/2013 6:00,7.179,376.7,376.7
