ID,Date,Temperature,Avg.light,Max.light
1,5/1/2013 6:00,12.69,129.2,129.2
2,5/1/2013 8:00,16.618,28933.5,28933.5
3,5/1/2013 10:00,25.513,143289.8,143289.8
4,5/1/2013 12:00,24.062,11022.3,11022.3
5,5/1/2013 14:00,33.326,170845.6,170845.6
6,5/1/2013 16:00,30.76,121245.2,121245.2
7,5/1/2013 18:00,26.39,49600.3,49600.3
8,5/1/2013 20:00,18.996,2411.1,2411.1
9,5/1/2013 22:00,17.189,0,0
10,5/2/2013 0:00,15.855,0,0
11,5/2/2013 2:00,12.787,0,0
12,5/2/2013 4:00,10.651,0,0
13,5/2/2013 6:00,8.879,247.6,247.6
14,5/2/2013 8:00,13.654,13089,13089
15,5/2/2013 10:00,27.075,148801,148801
16,5/2/2013 12:00,25.805,11022.3,11022.3
17,5/2/2013 14:00,33.014,170845.6,170845.6
18,5/2/2013 16:00,32.291,126756.4,126756.4
19,5/2/2013 18:00,25.125,39955.8,39955.8
20,5/2/2013 20:00,18.426,2066.7,2066.7
21,5/2/2013 22:00,16.237,0,0
22,5/3/2013 0:00,14.709,0,0
23,5/3/2013 2:00,12.883,0,0
24,5/3/2013 4:00,10.748,0,0
25,5/3/2013 6:00,9.768,419.8,419.8
26,5/3/2013 8:00,18.14,30311.3,30311.3
27,5/3/2013 10:00,26.488,93689.5,93689.5
28,5/3/2013 12:00,27.075,18600.1,18600.1
29,5/3/2013 14:00,30.659,143289.8,143289.8
30,5/3/2013 16:00,29.652,104711.8,104711.8
31,5/3/2013 18:00,24.062,30311.3,30311.3
32,5/3/2013 20:00,19.187,4305.6,4305.6
33,5/3/2013 22:00,16.332,0,0
34,5/4/2013 0:00,15.091,0,0
35,5/4/2013 2:00,12.401,0,0
36,5/4/2013 4:00,10.748,0,0
37,5/4/2013 6:00,9.373,376.7,376.7
38,5/4/2013 8:00,14.613,23422.4,23422.4
39,5/4/2013 10:00,25.125,148801,148801
40,5/4/2013 12:00,24.931,9300.1,9300.1
41,5/4/2013 14:00,31.778,176356.7,176356.7
42,5/4/2013 16:00,31.268,132267.5,132267.5
43,5/4/2013 18:00,26.585,57867,57867
44,5/4/2013 20:00,17.475,2152.8,2152.8
45,5/4/2013 22:00,14.9,0,0
46,5/5/2013 0:00,13.461,0,0
47,5/5/2013 2:00,14.9,0,0
48,5/5/2013 4:00,10.944,0,0
49,5/5/2013 6:00,9.077,452.1,452.1
50,5/5/2013 8:00,14.613,19289,19289
51,5/5/2013 10:00,29.552,154312.1,154312.1
52,5/5/2013 12:00,30.659,8266.7,8266.7
53,5/5/2013 14:00,35.115,176356.7,176356.7
54,5/5/2013 16:00,35.542,132267.5,132267.5
55,5/5/2013 18:00,31.983,55111.5,55111.5
56,5/5/2013 20:00,20.424,2755.6,2755.6
57,5/5/2013 22:00,16.903,0,0
58,5/6/2013 0:00,14.325,0,0
59,5/6/2013 2:00,11.916,0,0
60,5/6/2013 4:00,10.161,0,0
61,5/6/2013 6:00,8.481,581.3,581.3
62,5/6/2013 8:00,15.091,19977.9,19977.9
63,5/6/2013 10:00,28.06,154312.1,154312.1
64,5/6/2013 12:00,27.862,10677.8,10677.8
65,5/6/2013 14:00,32.497,176356.7,176356.7
66,5/6/2013 16:00,32.394,132267.5,132267.5
67,5/6/2013 18:00,29.652,63378.2,63378.2
68,5/6/2013 20:00,16.618,2583.4,2583.4
69,5/6/2013 22:00,13.173,0,0
70,5/7/2013 0:00,11.722,0,0
71,5/7/2013 2:00,10.259,0,0
72,5/7/2013 4:00,9.472,0,0
73,5/7/2013 6:00,9.571,592,592
74,5/7/2013 8:00,14.9,17911.2,17911.2
75,5/7/2013 10:00,28.953,148801,148801
76,5/7/2013 12:00,29.252,12400.1,12400.1
77,5/7/2013 14:00,35.971,176356.7,176356.7
78,5/7/2013 16:00,36.295,132267.5,132267.5
79,5/7/2013 18:00,33.014,63378.2,63378.2
80,5/7/2013 20:00,20.901,3788.9,3788.9
81,5/7/2013 22:00,15.091,0,0
82,5/8/2013 0:00,13.173,0,0
83,5/8/2013 2:00,14.134,0,0
84,5/8/2013 4:00,13.942,0,0
85,5/8/2013 6:00,13.173,775,775
86,5/8/2013 8:00,18.616,20666.8,20666.8
87,5/8/2013 10:00,21.091,35822.5,35822.5
88,5/8/2013 12:00,29.152,82667.2,82667.2
89,5/8/2013 14:00,26.39,74400.5,74400.5
90,5/8/2013 16:00,25.125,68889.3,68889.3
91,5/8/2013 18:00,21.76,20666.8,20666.8
92,5/8/2013 20:00,17.665,968.8,968.8
93,5/8/2013 22:00,16.046,0,0
94,5/9/2013 0:00,15.282,0,0
95,5/9/2013 2:00,15.951,0,0
96,5/9/2013 4:00,16.713,0,0
97,5/9/2013 6:00,16.523,1022.6,1022.6
98,5/9/2013 8:00,17.475,24800.2,24800.2
99,5/9/2013 10:00,19.567,34444.7,34444.7
100,5/9/2013 12:00,21.282,49600.3,49600.3
101,5/9/2013 14:00,24.255,57867,57867
